Interval=	0.0025 s
ExcelDateTime=	4.4993566444580458e+004	3/8/2023 13:35:40.811751
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.1325	-52.00959
1.135	-45.67916
1.1375	-37.90255
1.14	-28.72324
1.1425	-18.27012
1.145	-7.472507
1.1475	2.456233
1.15	11.16481
1.1525	18.00959
1.155	21.89866
1.1575	23.48786
1.16	24.55977
1.1625	25.77765
1.165	27.1811
1.1675	28.8874
1.17	30.01904
1.1725	28.78737
1.175	24.55658
1.1775	18.1968
1.18	11.58488
1.1825	6.546487
1.185	2.703967
1.1875	-1.572192
1.19	-6.252671
1.1925	-10.73118
1.195	-16.36257
1.1975	-24.18436
1.2	-32.80502
1.2025	-41.53565
1.205	-52.11564
1.2075	-64.87258
1.21	-77.04352
1.2125	-86.61098
1.215	-94.3575
1.2175	-101.1852
1.22	-105.879
1.2225	-105.8259
1.225	-99.40429
1.2275	-87.87355
1.23	-73.87472
1.2325	-58.95431
1.235	-44.21493
1.2375	-30.91425
1.24	-18.51864
1.2425	-5.759288
1.245	5.840165
1.2475	13.2135
1.25	15.56667
1.2525	14.71029
1.255	13.73298
1.2575	15.01005
1.26	17.60839
1.2625	18.74954
1.265	18.35525
1.2675	18.39518
1.27	18.62482
1.2725	16.39819
1.275	9.946219
1.2775	0.5185278
1.28	-8.622107
1.2825	-15.56301
1.285	-21.51518
1.2875	-28.25945
1.29	-35.15637
1.2925	-40.17877
1.295	-43.33358
1.2975	-47.66255
1.3	-56.54879
1.3025	-70.88287
1.305	-88.42144
1.3075	-105.8363
1.31	-120.7288
1.3125	-131.3914
1.315	-135.4238
1.3175	-131.3508
1.32	-120.503
1.3225	-105.6571
1.325	-89.2106
1.3275	-72.7388
1.33	-56.95388
1.3325	-41.96637
1.335	-27.99253
1.3375	-15.6631
1.34	-5.982965
1.3425	-0.04648666
1.345	1.965916
1.3475	1.626605
1.35	0.9859421
1.3525	0.5897717
1.355	-0.6483246
1.3575	-3.723657
1.36	-8.287685
1.3625	-13.14601
1.365	-17.76169
1.3675	-22.67906
1.37	-28.65443
1.3725	-35.54327
1.375	-42.53747
1.3775	-50.25924
1.38	-60.38109
1.3825	-72.41986
1.385	-83.81566
1.3875	-93.30908
1.39	-101.4706
1.3925	-109.0744
1.395	-116.6276
1.3975	-123.3881
1.4	-127.2965
1.4025	-127.0727
1.405	-122.901
1.4075	-115.2104
1.41	-104.5008
1.4125	-91.12317
1.415	-75.49528
1.4175	-59.29761
1.42	-44.38193
1.4225	-31.15467
1.425	-19.37744
1.4275	-9.723492
1.43	-3.496655
1.4325	-1.06638
1.435	-1.142815
1.4375	-1.910646
1.44	-2.22026
1.4425	-1.751682
1.445	-1.136752
1.4475	-1.464178
1.45	-3.275948
1.4525	-6.397673
1.455	-10.93924
1.4575	-16.31039
1.46	-20.4778
1.4625	-22.51284
1.465	-23.80775
1.4675	-25.66088
1.47	-28.41277
1.4725	-32.91449
1.475	-40.53609
1.4775	-52.2944
1.48	-67.0909
1.4825	-82.26848
1.485	-96.4921
1.4875	-109.7276
1.49	-120.2444
1.4925	-124.7268
1.495	-122.303
1.4975	-114.9039
1.5	-103.875
1.5025	-89.53355
1.505	-73.17748
1.5075	-56.38518
1.51	-40.32351
1.5125	-26.41241
1.515	-15.28251
1.5175	-6.689753
1.52	-0.8188213
1.5225	2.220712
1.525	3.670537
1.5275	4.490733
1.53	4.249423
1.5325	3.032407
1.535	1.920971
1.5375	1.539582
1.54	1.140431
1.5425	-0.8639616
1.545	-4.675005
1.5475	-8.539548
1.55	-11.26785
1.5525	-13.62694
1.555	-16.36906
1.5575	-18.85335
1.56	-19.87068
1.5625	-19.63563
1.565	-20.14262
1.5675	-22.65677
1.57	-26.94182
1.5725	-32.38544
1.575	-38.7281
1.5775	-46.34911
1.58	-54.43936
1.5825	-60.51946
1.585	-62.95035
1.5875	-61.84919
1.59	-57.60139
1.5925	-51.13217
1.595	-43.99594
1.5975	-36.8225
1.6	-29.44283
1.6025	-22.29319
1.605	-16.05571
1.6075	-10.16477
1.61	-3.794149
1.6125	2.710248
1.615	8.57534
1.6175	12.56937
1.62	12.61357
1.6225	8.130407
1.625	1.437283
1.6275	-5.17257
1.63	-11.38501
1.6325	-16.99185
1.635	-21.11051
1.6375	-23.60725
1.64	-24.56432
1.6425	-23.75509
1.645	-22.10075
1.6475	-20.39821
1.65	-17.89295
1.6525	-14.26338
1.655	-10.74864
1.6575	-8.153848
1.66	-6.591492
1.6625	-6.546056
1.665	-7.194579
1.6675	-6.260421
1.67	-3.466551
1.6725	-1.153251
1.675	-0.4158138
1.6775	-0.1942047
1.68	0.3203724
1.6825	1.010785
1.685	1.810503
1.6875	2.901007
1.69	4.479852
1.6925	6.894466
1.695	9.626714
1.6975	10.63343
1.7	7.903372
1.7025	1.753354
1.705	-5.491152
1.7075	-11.92013
1.71	-16.97081
1.7125	-20.79494
1.715	-23.59674
1.7175	-25.24172
1.72	-25.60605
1.7225	-25.13113
1.725	-24.27493
1.7275	-22.85054
1.73	-20.24396
1.7325	-15.91738
1.735	-10.33185
1.7375	-5.004337
1.74	-1.149295
1.7425	1.087839
1.745	2.587075
1.7475	4.361039
1.75	6.379721
1.7525	7.989559
1.755	9.085728
1.7575	9.700026
1.76	9.486865
1.7625	8.084711
1.765	5.381881
1.7675	1.864911
1.77	-0.9001217
1.7725	-1.397224
1.775	-0.3082799
1.7775	0.313525
1.78	-0.05364838
1.7825	-0.3960495
1.785	-0.6264153
1.7875	-1.772355
1.79	-4.355613
1.7925	-7.788672
1.795	-11.71978
1.7975	-16.54516
1.8	-21.91545
1.8025	-26.99931
1.805	-31.36389
1.8075	-34.67454
1.81	-36.97395
1.8125	-38.42569
1.815	-38.22897
1.8175	-36.449
1.82	-34.95395
1.8225	-34.43182
1.825	-33.51509
1.8275	-31.71784
1.83	-30.35076
1.8325	-29.83464
1.835	-28.98566
1.8375	-26.7952
1.84	-23.051
1.8425	-18.17681
1.845	-13.62965
1.8475	-10.59527
1.85	-8.750439
1.8525	-7.453089
1.855	-6.242094
1.8575	-4.372033
1.86	-2.03031
1.8625	-0.8774632
1.865	-1.55915
1.8675	-3.234408
1.87	-5.794691
1.8725	-9.711024
1.875	-14.13005
1.8775	-17.50072
1.88	-18.84777
1.8825	-17.82018
1.885	-15.10859
1.8875	-12.12695
1.89	-10.19511
1.8925	-9.668713
1.895	-9.381902
1.8975	-7.393466
1.9	-3.278557
1.9025	1.287096
1.905	4.968839
1.9075	8.73662
1.91	13.73128
1.9125	18.51445
1.915	21.21825
1.9175	21.82843
1.92	20.91918
1.9225	18.39855
1.925	14.80277
1.9275	11.99618
1.93	11.43356
1.9325	12.10316
1.935	11.62437
1.9375	8.966559
1.94	5.088002
1.9425	1.206219
1.945	-2.026345
1.9475	-3.94986
1.95	-4.854663
1.9525	-6.266472
1.955	-9.05839
1.9575	-12.97232
1.96	-17.68314
1.9625	-22.44549
1.965	-26.0234
1.9675	-27.3733
1.97	-25.44159
1.9725	-19.74033
1.975	-11.8989
1.9775	-5.770235
1.98	-3.993746
1.9825	-5.060183
1.985	-5.823727
1.9875	-5.78573
1.99	-6.026796
1.9925	-5.968292
1.995	-4.596475
1.9975	-2.668746
2	-2.508295
2.0025	-6.11657
2.005	-12.95443
2.0075	-20.54548
2.01	-27.99408
2.0125	-36.15977
2.015	-44.62286
2.0175	-51.84274
2.02	-56.55773
2.0225	-58.11431
2.025	-57.60168
2.0275	-58.2554
2.03	-61.49451
2.0325	-64.58372
2.035	-64.11913
2.0375	-59.25738
2.04	-50.71212
2.0425	-39.43427
2.045	-27.76125
2.0475	-17.49359
2.05	-7.629845
2.0525	2.956066
2.055	12.96506
2.0575	20.30383
2.06	23.93047
2.0625	24.02364
2.065	22.20801
2.0675	20.0522
2.07	17.56328
2.0725	14.2405
2.075	10.93071
2.0775	9.128551
2.08	8.970302
2.0825	8.640736
2.085	5.569564
2.0875	-1.594076
2.09	-11.51127
2.0925	-20.82461
2.095	-26.94476
2.0975	-30.14448
2.1	-32.54974
2.1025	-35.6526
2.105	-39.42319
2.1075	-42.84326
2.11	-44.80875
2.1125	-44.8764
2.115	-43.38065
2.1175	-41.21989
2.12	-38.96024
2.1225	-35.98813
2.125	-31.30789
2.1275	-25.73818
2.13	-20.70823
2.1325	-15.42924
2.135	-8.664387
2.1375	-1.159957
2.14	5.957909
2.1425	12.42488
2.145	17.56293
2.1475	20.90054
2.15	23.00078
2.1525	24.04369
2.155	23.65814
2.1575	22.08101
2.16	19.42191
2.1625	15.80788
2.165	12.7436
2.1675	11.1085
2.17	9.349396
2.1725	6.143723
2.175	1.963317
2.1775	-3.149945
2.18	-9.609732
2.1825	-16.77549
2.185	-24.07275
2.1875	-31.69947
2.19	-39.14642
2.1925	-45.54145
2.195	-50.77442
2.1975	-54.18179
2.2	-54.44779
2.2025	-51.31383
2.205	-45.90565
2.2075	-39.42953
2.21	-32.8157
2.2125	-26.62024
2.215	-20.58941
2.2175	-13.81483
2.22	-5.906479
2.2225	2.577236
2.225	11.2891
2.2275	20.04928
2.23	28.45314
2.2325	35.6259
2.235	40.29822
2.2375	41.98049
2.24	41.37337
2.2425	39.04389
2.245	34.90329
2.2475	29.67341
2.25	24.70495
2.2525	20.55469
2.255	16.82724
2.2575	13.41418
2.26	10.76626
2.2625	8.857489
2.265	6.821659
2.2675	3.349757
2.27	-2.429867
2.2725	-9.586839
2.275	-15.21918
2.2775	-17.84112
2.28	-18.77924
2.2825	-19.79884
2.285	-21.75376
2.2875	-24.39386
2.29	-25.50768
2.2925	-23.23347
2.295	-18.54301
2.2975	-12.8283
2.3	-6.130099
2.3025	1.703976
2.305	10.42176
2.3075	18.7518
2.31	24.59378
2.3125	27.33943
2.315	28.63276
2.3175	30.04385
2.32	31.77458
2.3225	33.42208
2.325	34.40735
2.3275	33.91405
2.33	31.8787
2.3325	28.81691
2.335	24.71664
2.3375	19.57547
2.34	14.39068
2.3425	9.691658
2.345	4.230345
2.3475	-2.083813
2.35	-7.010661
2.3525	-9.394361
2.355	-10.77809
2.3575	-12.73294
2.36	-15.30974
2.3625	-18.16066
2.365	-20.51142
2.3675	-21.13474
2.37	-19.36473
2.3725	-15.43957
2.375	-9.950976
2.3775	-3.850224
2.38	2.188892
2.3825	8.548887
2.385	14.84635
2.3875	20.00777
2.39	24.37713
2.3925	28.81057
2.395	32.43625
2.3975	34.16784
2.4	33.92218
2.4025	31.37873
2.405	26.68356
2.4075	21.89163
2.41	18.75082
2.4125	16.42283
2.415	13.50577
2.4175	9.742998
2.42	5.178289
2.4225	0.2801662
2.425	-3.553561
2.4275	-5.737508
2.43	-7.22814
2.4325	-9.242381
2.435	-12.64846
2.4375	-17.44241
2.44	-22.23372
2.4425	-25.34297
2.445	-26.30117
2.4475	-26.09061
2.45	-26.03025
2.4525	-26.24581
2.455	-25.48208
2.4575	-22.47887
2.46	-17.3602
2.4625	-10.7506
2.465	-1.4495
2.4675	11.81809
2.47	26.3534
2.4725	36.04374
2.475	36.63392
2.4775	30.02368
2.48	23.15484
2.4825	21.33546
2.485	23.97767
2.4875	27.18787
2.49	28.54163
2.4925	28.40511
2.495	26.87588
2.4975	22.79172
2.5	16.1494
2.5025	9.09137
2.505	3.752386
2.5075	0.6392603
2.51	-1.335544
2.5125	-4.025561
2.515	-8.415195
2.5175	-13.6923
2.52	-17.94269
2.5225	-20.17689
2.525	-21.10259
