Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
1.425	52.86738
1.4275	50.31807
1.43	46.35378
1.4325	40.60074
1.435	33.2806
1.4375	25.26959
1.44	17.11968
1.4425	9.003375
1.445	1.189371
1.4475	-6.470724
1.45	-14.21159
1.4525	-21.25645
1.455	-27.03674
1.4575	-32.01669
1.46	-36.21031
1.4625	-39.25683
1.465	-41.63672
1.4675	-43.903
1.47	-45.94645
1.4725	-47.69225
1.475	-48.56979
1.4775	-47.52564
1.48	-44.08735
1.4825	-38.51164
1.485	-31.20922
1.4875	-22.49512
1.49	-12.80909
1.4925	-2.780375
1.495	6.495517
1.4975	13.82735
1.5	18.95664
1.5025	22.48521
1.505	24.94805
1.5075	26.7194
1.51	28.23187
1.5125	29.05335
1.515	28.03728
1.5175	25.13895
1.52	21.55818
1.5225	17.85181
1.525	13.45591
1.5275	8.382713
1.53	3.303154
1.5325	-1.607508
1.535	-6.018873
1.5375	-9.05159
1.54	-10.47547
1.5425	-11.06701
1.545	-11.20215
1.5475	-10.57894
1.55	-9.053887
1.5525	-7.531263
1.555	-7.426562
1.5575	-8.899188
1.56	-10.3388
1.5625	-10.40859
1.565	-10.03107
1.5675	-10.53746
1.57	-11.29209
1.5725	-10.86449
1.575	-9.132093
1.5775	-6.883638
1.58	-4.841184
1.5825	-3.232775
1.585	-1.379362
1.5875	1.610753
1.59	5.527433
1.5925	9.558205
1.595	13.29012
1.5975	16.65424
1.6	19.94307
1.6025	23.1842
1.605	25.1398
1.6075	24.41146
1.61	21.26892
1.6125	17.35171
1.615	14.6775
1.6175	14.45678
1.62	15.83761
1.6225	16.76337
1.625	16.33361
1.6275	14.77564
1.63	11.96803
1.6325	7.763614
1.635	2.611843
1.6375	-2.976316
1.64	-8.423512
1.6425	-12.65091
1.645	-15.49752
1.6475	-18.41158
1.65	-22.49357
1.6525	-27.22664
1.655	-31.84895
1.6575	-35.55903
1.66	-37.38173
1.6625	-37.24049
1.665	-35.76365
1.6675	-32.92877
1.67	-28.51311
1.6725	-23.0504
1.675	-17.06075
1.6775	-10.72969
1.68	-4.590775
1.6825	0.6743885
1.685	4.60567
1.6875	7.131686
1.69	9.183202
1.6925	12.2475
1.695	16.382
1.6975	20.20228
1.7	22.68476
1.7025	23.82813
1.705	24.20441
1.7075	24.30219
1.71	24.04795
1.7125	23.14869
1.715	21.79039
1.7175	20.46019
1.72	18.94343
1.7225	16.2576
1.725	12.0604
1.7275	7.124887
